id,x,y,z
0,-2.102924448,3.402603233,0.000000000
1,2.102924448,3.402603233,0.000000000
2,-2.102924448,-3.402603233,0.000000000
3,2.102924448,-3.402603233,0.000000000
4,0.000000000,-2.102924448,3.402603233
5,0.000000000,2.102924448,3.402603233
6,0.000000000,-2.102924448,-3.402603233
7,0.000000000,2.102924448,-3.402603233
8,3.402603233,0.000000000,-2.102924448
9,3.402603233,0.000000000,2.102924448
10,-3.402603233,0.000000000,-2.102924448
11,-3.402603233,0.000000000,2.102924448
12,-3.236067977,2.000000000,1.236067977
13,-2.000000000,1.236067977,3.236067977
14,-1.236067977,3.236067977,2.000000000
15,1.236067977,3.236067977,2.000000000
16,0.000000000,4.000000000,0.000000000
17,1.236067977,3.236067977,-2.000000000
18,-1.236067977,3.236067977,-2.000000000
19,-2.000000000,1.236067977,-3.236067977
20,-3.236067977,2.000000000,-1.236067977
21,-4.000000000,0.000000000,0.000000000
22,2.000000000,1.236067977,3.236067977
23,3.236067977,2.000000000,1.236067977
24,-2.000000000,-1.236067977,3.236067977
25,0.000000000,0.000000000,4.000000000
26,-3.236067977,-2.000000000,-1.236067977
27,-3.236067977,-2.000000000,1.236067977
28,0.000000000,0.000000000,-4.000000000
29,-2.000000000,-1.236067977,-3.236067977
30,3.236067977,2.000000000,-1.236067977
31,2.000000000,1.236067977,-3.236067977
32,3.236067977,-2.000000000,1.236067977
33,2.000000000,-1.236067977,3.236067977
34,1.236067977,-3.236067977,2.000000000
35,-1.236067977,-3.236067977,2.000000000
36,0.000000000,-4.000000000,0.000000000
37,-1.236067977,-3.236067977,-2.000000000
38,1.236067977,-3.236067977,-2.000000000
39,2.000000000,-1.236067977,-3.236067977
40,3.236067977,-2.000000000,-1.236067977
41,4.000000000,0.000000000,0.000000000
42,-2.775121910,2.808185779,0.642488143
43,-2.351141009,2.752763841,1.701301617
44,-1.735554258,3.450673922,1.039567652
45,-2.808185779,0.642488143,2.775121910
46,-2.752763841,1.701301617,2.351141009
47,-3.450673922,1.039567652,1.735554258
48,-0.642488143,2.775121910,2.808185779
49,-1.701301617,2.351141009,2.752763841
50,-1.039567652,1.735554258,3.450673922
51,-0.649839392,3.804226065,1.051462224
52,-1.093066116,3.847753431,0.000000000
53,0.642488143,2.775121910,2.808185779
54,0.000000000,3.402603233,2.102924448
55,1.093066116,3.847753431,0.000000000
56,0.649839392,3.804226065,1.051462224
57,1.735554258,3.450673922,1.039567652
58,-0.649839392,3.804226065,-1.051462224
59,-1.735554258,3.450673922,-1.039567652
60,1.735554258,3.450673922,-1.039567652
61,0.649839392,3.804226065,-1.051462224
62,-0.642488143,2.775121910,-2.808185779
63,0.000000000,3.402603233,-2.102924448
64,0.642488143,2.775121910,-2.808185779
65,-2.351141009,2.752763841,-1.701301617
66,-2.775121910,2.808185779,-0.642488143
67,-1.039567652,1.735554258,-3.450673922
68,-1.701301617,2.351141009,-2.752763841
69,-3.450673922,1.039567652,-1.735554258
70,-2.752763841,1.701301617,-2.351141009
71,-2.808185779,0.642488143,-2.775121910
72,-3.402603233,2.102924448,0.000000000
73,-3.847753431,0.000000000,-1.093066116
74,-3.804226065,1.051462224,-0.649839392
75,-3.804226065,1.051462224,0.649839392
76,-3.847753431,0.000000000,1.093066116
77,2.351141009,2.752763841,1.701301617
78,2.775121910,2.808185779,0.642488143
79,1.039567652,1.735554258,3.450673922
80,1.701301617,2.351141009,2.752763841
81,3.450673922,1.039567652,1.735554258
82,2.752763841,1.701301617,2.351141009
83,2.808185779,0.642488143,2.775121910
84,-1.051462224,0.649839392,3.804226065
85,0.000000000,1.093066116,3.847753431
86,-2.808185779,-0.642488143,2.775121910
87,-2.102924448,0.000000000,3.402603233
88,0.000000000,-1.093066116,3.847753431
89,-1.051462224,-0.649839392,3.804226065
90,-1.039567652,-1.735554258,3.450673922
91,-3.804226065,-1.051462224,0.649839392
92,-3.450673922,-1.039567652,1.735554258
93,-3.450673922,-1.039567652,-1.735554258
94,-3.804226065,-1.051462224,-0.649839392
95,-2.775121910,-2.808185779,0.642488143
96,-3.402603233,-2.102924448,0.000000000
97,-2.775121910,-2.808185779,-0.642488143
98,-2.102924448,0.000000000,-3.402603233
99,-2.808185779,-0.642488143,-2.775121910
100,0.000000000,1.093066116,-3.847753431
